cluster1,cluster2,distance(km),normalized_distance,1/std_distance
0,71,428.0816259259329,3.019859678019186,0.33114121403678237
0,72,180.09374241580858,1.270453572513698,0.787120459680724
0,73,193.7537388753671,1.3668166724736177,0.7316270134386307
0,74,372.61134570850254,2.628550048238378,0.38043787702280496
0,75,171.57435875391707,1.2103544193522564,0.8262042786898474
0,76,274.53777666207947,1.9366997124475889,0.5163423082952836
0,77,220.4865438081858,1.5554006125629767,0.6429211817990788
0,78,91.23753757316727,0.6436262248888016,1.55369679066879
0,79,500.5126258420188,3.530817034836561,0.2832205662693845
0,80,469.793567124971,3.314112459942316,0.3017399113901541
0,81,457.31817846664376,3.226106059070958,0.30997121039721065
0,82,351.3742588986385,2.478735110498448,0.40343157111245753
0,83,436.0814970456331,3.0762939811067773,0.32506646183412674
0,84,524.1641070490475,3.697664080112203,0.2704410077103747
0,85,485.1977316927121,3.4227796220777496,0.29216020615226296
1,2,155.19934415723733,1.0948384912847324,0.91337672904298
1,3,330.2359147154727,2.3296167428956336,0.42925515669029507
1,4,123.66748223475244,0.8724000762123322,1.1462630818897492
1,5,21.75829562445853,0.15349175400042114,6.515007965817214
1,6,66.40301891920136,0.46843355843433665,2.134774466932596
1,7,25.717108622558644,0.1814188104815822,5.512107577739415
1,8,155.35261139947357,1.0959196999532645,0.912475612987562
1,9,482.3110999982566,3.4024161630282674,0.29390878484128924
1,10,12.706786963896619,0.0896387774328126,11.155886198353553
1,11,225.66041507403358,1.591899177950362,0.6281804864599168
1,12,78.75052727453377,0.5555378403002557,1.8000573992574882
1,13,22.61437088667198,0.15953085264221945,6.268379961854178
1,14,67.90205673278808,0.47900837308396105,2.087646179464005
1,15,180.71751476059072,1.2748539130987364,0.7844036008559914
1,16,48.32541422376672,0.34090687616472926,2.933352390101956
1,17,246.3115051879571,1.7375802597003376,0.5755129838851067
1,18,559.2888269961546,3.945447958339991,0.25345664435547144
1,19,201.7054532176805,1.4229112583170052,0.7027845160089482
1,20,248.5186072125828,1.7531500436055099,0.570401833914575
1,21,187.811444376658,1.3248973410546334,0.7547754599643083
1,22,383.4809044217721,2.7052282798841905,0.36965457127441
1,23,77.11553842630506,0.5440039724634913,1.8382218708285463
1,24,44.51734167365353,0.3140432033308753,3.1842752506456953
1,25,185.15986977132974,1.3061920690949442,0.7655841921417395
1,26,145.17524342689822,1.0241244597294716,0.9764438203772183
1,27,392.52101058754175,2.7690008186750608,0.36114109943762673
1,28,42.95866572380299,0.3030476773213887,3.299810804817613
1,29,165.5809954743396,1.168074828247245,0.8561095366643164
1,30,155.91273082510367,1.0998710072878808,0.9091975271407982
1,31,144.23849141288457,1.017516234886127,0.9827853018108479
1,32,98.95402224819718,0.6980614062067861,1.432538729556653
1,33,388.66116083315376,2.741771888652016,0.36472764351364295
1,34,57.87175064807905,0.40825056646732266,2.4494760868385526
1,35,297.42842465406875,2.098179534724987,0.47660363827305763
1,36,121.70731754878902,0.8585722874474805,1.1647242924331758
1,37,223.46944929711248,1.5764432256157275,0.6343393683647692
1,38,43.265816922905806,0.3052144452110863,3.2763849014695223
1,39,260.72230864220217,1.8392398536742771,0.5437028770349256
1,40,100.00039459452812,0.7054429368904364,1.417549099588351
1,41,136.8731840037015,0.9655583990105545,1.035670137637184
1,42,281.9683215775408,1.9891177598874352,0.5027354439068455
1,43,102.1493523099929,0.7206025474919509,1.387727539238501
1,44,229.84347333305485,1.6214081505438485,0.6167478556615018
1,45,414.7856048206042,2.926064206355982,0.3417560003734043
1,46,206.9026279647334,1.459574215817919,0.6851313137507147
1,47,282.9260314408023,1.9958738298146346,0.5010336751060434
1,48,202.38417457307037,1.4276992312866905,0.700427637758666
1,49,130.3717233285176,0.9196944848592559,1.0873175999886893
1,50,35.94737543631981,0.25358722037171016,3.943416385629339
1,51,121.1928505615302,0.8549430307440784,1.1696685791212016
